,sector,industry,code,name,RecommendMA,close,sma200,close_5,sma200_5,close_15,sma200_15,close_60,sma200_60,close_240,sma200_240,close_1w,sma200_1w,close_1m,sma200_1m,prepare_zone
1,Producer Manufacturing,Auto Parts: OEM,200581,苏威孚Ｂ,0.80,16.73,14.72,16.73,16.57,16.73,16.57,16.73,16.43,16.73,15.55,16.73,15.07,16.73,,True
6,Electronic Technology,Electronic Components,603489,八方股份,0.93,241.00,187.51,241.00,234.70,241.00,227.49,241.00,199.42,241.00,198.85,241.00,,241.00,,True
9,Consumer Durables,Electronics/Appliances,603187,海容冷链,0.93,59.20,55.30,59.20,58.26,59.20,58.52,59.20,54.66,59.20,58.13,59.20,,59.20,,True
11,Producer Manufacturing,Industrial Machinery,688200,华峰测控,0.80,378.99,313.88,378.99,358.40,378.99,317.06,378.99,310.15,378.99,350.56,378.99,,378.99,,True
12,Process Industries,Industrial Specialties,603737,三棵树,0.80,245.49,165.97,245.49,242.75,245.49,239.82,245.49,210.05,245.49,181.34,245.49,66.69,245.49,,True
14,Health Technology,Medical Specialties,688198,佰仁医疗,0.80,169.24,106.88,169.24,167.52,169.24,161.98,169.24,151.17,169.24,119.82,169.24,,169.24,,True
16,Health Technology,Medical Specialties,688016,心脉医疗,0.93,365.45,276.36,365.45,347.87,365.45,334.10,365.45,310.58,365.45,290.21,365.45,,365.45,,True
18,Commercial Services,Miscellaneous Commercial Services,688202,美迪西,0.93,451.88,217.34,451.88,436.14,451.88,396.33,451.88,347.90,451.88,277.82,451.88,,451.88,,True
21,Technology Services,Packaged Software,688023,安恒信息,0.40,274.75,260.77,274.75,273.59,274.75,270.01,274.75,271.90,274.75,262.73,274.75,,274.75,,True
22,Technology Services,Packaged Software,688188,柏楚电子,0.93,355.93,269.14,355.93,352.22,355.93,342.28,355.93,318.71,355.93,297.79,355.93,,355.93,,True
23,Technology Services,Packaged Software,603444,吉比特,0.93,471.19,453.66,471.19,453.76,471.19,446.32,471.19,405.49,471.19,376.00,471.19,284.10,471.19,,True
24,Health Technology,Pharmaceuticals: Major,200028,一致Ｂ,0.80,23.29,22.46,23.29,23.26,23.29,22.93,23.29,22.68,23.29,22.15,23.29,28.84,23.29,,True
25,Electronic Technology,Semiconductors,688018,乐鑫科技,0.80,155.00,150.32,155.00,150.60,155.00,141.22,155.00,122.12,155.00,128.37,155.00,,155.00,,True
26,Electronic Technology,Semiconductors,688368,晶丰明源,0.93,335.18,176.44,335.18,305.25,335.18,301.20,335.18,256.36,335.18,208.12,335.18,,335.18,,True
