Producer Manufacturing,Electrical Products,603659,璞泰来,105.95,105.52,114.80,104.38,100.43,104.22,90.10,104.03,7.82,107.84,20.43
Process Industries,Chemicals: Major Diversified,300037,新宙邦,57.99,57.26,63.87,57.12,52.98,57.04,44.90,57.22,20.92,58.91,7.99
Producer Manufacturing,Electrical Products,601615,明阳智能,15.45,15.25,16.75,15.30,13.93,15.32,12.71,15.40,37.25,15.62,6.36
Process Industries,Textiles,002493,荣盛石化,19.06,18.89,19.88,18.76,15.80,18.80,13.61,18.85,42.12,19.14,4.92
Consumer Durables,Tools & Hardware,002444,巨星科技,20.41,20.26,21.13,20.37,16.10,20.32,13.54,20.57,50.76,20.48,4.85
Health Technology,Pharmaceuticals: Major,300595,欧普康视,61.49,59.89,66.65,61.39,59.99,61.06,48.31,60.63,44.15,61.58,3.23
Process Industries,Containers/Packaging,300566,激智科技,35.53,35.52,37.96,35.34,31.38,34.35,27.85,34.08,-4.34,36.13,362.78
Producer Manufacturing,Electrical Products,603659,璞泰来,105.73,105.50,114.78,104.37,100.42,104.22,90.10,104.07,3.91,107.82,38.69
Process Industries,Chemicals: Major Diversified,300037,新宙邦,57.43,57.20,63.83,57.11,52.97,57.02,44.89,57.23,7.77,58.86,28.03
Process Industries,Containers/Packaging,002803,吉宏股份,43.00,42.38,46.66,42.61,34.14,41.70,26.32,41.45,6.42,43.45,5.89
Producer Manufacturing,Electrical Products,601615,明阳智能,15.42,15.24,16.75,15.30,13.93,15.29,12.71,15.36,34.61,15.62,7.49
Consumer Durables,Electronics/Appliances,603187,海容冷链,52.30,51.58,56.47,52.01,43.65,51.99,33.97,51.90,23.47,52.80,5.78
Electronic Technology,Aerospace & Defense,688002,睿创微纳,82.82,81.96,87.27,82.38,67.47,80.61,55.50,81.06,32.30,83.28,5.15
Electronic Technology,Electronic Production Equipment,300726,宏达电子,42.20,41.71,44.25,41.26,34.91,41.07,31.06,41.09,39.58,42.35,4.21
Process Industries,Containers/Packaging,002803,吉宏股份,43.25,42.40,46.67,42.61,34.14,41.91,26.32,41.66,16.46,43.47,4.04
Process Industries,Chemicals: Specialty,002597,金禾实业,33.29,33.24,36.76,33.29,28.20,32.26,24.98,32.01,-22.04,34.12,68.82
Electronic Technology,Electronic Equipment/Instruments,300427,红相股份,27.65,27.11,29.53,27.53,22.46,25.94,19.46,25.77,35.70,27.71,3.47
Process Industries,Chemicals: Specialty,002597,金禾实业,33.47,33.26,36.77,33.29,28.20,32.40,24.98,32.08,-12.97,34.13,15.46
Producer Manufacturing,Auto Parts: OEM,002920,德赛西威,69.99,68.93,73.52,69.74,63.22,70.25,49.15,70.58,61.66,70.08,3.33
Industrial Services,Engineering & Construction,603283,赛腾股份,53.91,53.49,55.25,53.83,50.18,52.54,45.07,52.45,36.47,53.93,3.21
Process Industries,Chemicals: Specialty,002597,金禾实业,33.50,33.26,36.77,33.29,28.20,32.58,24.98,32.18,-11.95,34.14,13.54
Producer Manufacturing,Auto Parts: OEM,002920,德赛西威,69.87,68.93,73.53,69.74,63.22,70.06,49.15,70.56,62.40,70.08,3.90
Electronic Technology,Semiconductors,300327,中颖电子,34.80,34.23,36.53,34.75,33.49,34.79,31.20,34.54,53.70,34.80,3.03
Producer Manufacturing,Trucks/Construction/Farm Machinery,603638,艾迪精密,59.75,59.33,65.00,59.51,49.67,58.86,36.06,58.00,3.51,60.75,12.45
Producer Manufacturing,Trucks/Construction/Farm Machinery,603638,艾迪精密,59.53,59.31,64.99,59.50,49.66,59.01,36.05,58.13,-4.13,60.73,24.54
Electronic Technology,Semiconductors,300327,中颖电子,34.79,34.23,36.53,34.75,33.49,34.70,31.20,34.59,53.16,34.80,3.10
Process Industries,Pulp & Paper,603165,荣晟环保,13.84,13.81,14.64,13.66,12.79,13.53,12.43,13.46,0.70,14.01,23.36
Health Technology,Medical Specialties,300396,迪瑞医疗,26.72,26.71,28.23,26.66,25.67,26.61,22.30,26.67,27.07,27.09,161.34
Producer Manufacturing,Trucks/Construction/Farm Machinery,603638,艾迪精密,59.62,59.32,64.99,59.50,49.67,59.23,36.05,58.63,-1.01,60.74,17.68
Commercial Services,Miscellaneous Commercial Services,300759,康龙化成,102.01,99.63,109.93,101.75,92.66,100.02,75.20,99.74,33.15,102.21,3.33
Producer Manufacturing,Trucks/Construction/Farm Machinery,603638,艾迪精密,59.69,59.32,65.00,59.50,49.67,59.31,36.06,58.74,1.43,60.74,14.45
Commercial Services,Miscellaneous Commercial Services,300759,康龙化成,101.93,99.62,109.93,101.75,92.66,100.22,75.20,99.85,31.80,102.20,3.47
Producer Manufacturing,Trucks/Construction/Farm Machinery,603638,艾迪精密,59.61,59.32,64.99,59.50,49.67,59.37,36.05,58.81,-1.36,60.73,18.25
