Consumer Non-Durables,Beverages: Alcoholic,600600,青岛啤酒,79.44,78.84,84.74,78.71,77.34,78.39,63.25,78.71,40.14,80.31,8.82
Electronic Technology,Electronic Equipment/Instruments,688006,杭可科技,57.97,57.12,61.64,57.32,55.49,56.87,48.62,56.76,13.84,58.25,4.30
Consumer Non-Durables,Beverages: Alcoholic,600600,青岛啤酒,79.10,78.86,84.61,78.70,77.48,78.45,63.39,78.43,25.94,80.30,23.31
Producer Manufacturing,Electrical Products,002850,科达利,74.02,73.60,83.33,72.39,70.82,71.46,62.67,69.40,-26.15,76.03,22.00
Finance,Investment Banks/Brokers,002736,国信证券,13.92,13.74,14.62,13.84,13.37,13.84,12.44,13.89,14.31,13.96,3.79
Consumer Non-Durables,Beverages: Alcoholic,600600,青岛啤酒,79.29,78.88,84.63,78.70,77.48,78.60,63.39,78.49,30.48,80.32,13.07
Producer Manufacturing,Industrial Machinery,603757,大元泵业,23.28,23.27,25.95,23.22,20.09,22.91,17.47,22.91,-19.69,23.94,240.76
Health Technology,Pharmaceuticals: Major,300765,新诺威,23.35,23.12,24.45,23.34,23.09,23.25,21.62,23.36,37.97,23.46,4.86
Process Industries,Textiles,002394,联发股份,10.47,10.43,11.12,10.47,10.13,10.45,9.60,10.43,12.11,10.60,15.38
Retail Trade,Drugstore Chains,002727,一心堂,39.35,39.07,42.26,39.24,36.25,39.17,30.65,39.42,15.39,39.87,10.58
Retail Trade,Drugstore Chains,002727,一心堂,39.28,39.07,42.26,39.24,36.25,39.18,30.64,39.41,12.11,39.87,14.05
Health Technology,Pharmaceuticals: Major,300765,新诺威,23.35,23.12,24.45,23.34,23.09,23.29,21.62,23.30,37.97,23.46,4.86
