Producer Manufacturing,Metal Fabrication,000951,中国重汽,37.32,37.03,39.83,36.91,36.24,36.74,29.46,36.58,7.09,37.73,8.50
Producer Manufacturing,Industrial Machinery,603915,国茂股份,23.67,23.51,24.64,23.66,22.15,23.42,17.67,23.38,27.53,23.79,6.16
Consumer Durables,Home Furnishings,603180,金牌厨柜,58.66,58.44,61.83,58.29,57.35,58.02,51.83,57.76,12.92,59.29,14.38
Process Industries,Chemicals: Specialty,688196,卓越新能,56.64,56.35,58.68,56.57,56.31,56.06,47.90,56.14,49.59,56.93,6.92
Process Industries,Chemicals: Specialty,688196,卓越新能,56.88,56.37,58.71,56.58,56.31,56.23,47.90,56.11,60.65,56.95,3.57
Electronic Technology,Electronic Equipment/Instruments,300724,捷佳伟创,103.96,103.21,114.55,103.19,96.54,101.31,80.13,100.26,2.52,106.04,14.05
Consumer Durables,Home Furnishings,603180,金牌厨柜,58.42,58.42,61.81,58.28,57.34,58.32,51.83,58.37,2.01,59.27,1141.10
