Industrial Services,Environmental Services,300692,中环环保,16.59,16.45,18.27,16.53,14.74,16.52,13.47,16.46,-8.08,16.90,11.97
Retail Trade,Specialty Stores,300755,华致酒行,31.81,31.64,33.02,31.64,31.42,31.57,26.67,31.50,31.80,31.98,7.08
Health Services,Medical/Nursing Services,300642,透景生命,57.43,57.11,59.72,57.18,54.05,56.85,49.21,56.82,29.04,57.76,7.05
Consumer Durables,Automotive Aftermarket,601163,三角轮胎,14.95,14.82,15.58,14.94,14.34,14.89,14.24,14.89,28.27,15.01,4.76
Industrial Services,Engineering & Construction,300617,安靠智电,44.41,43.33,48.20,44.06,38.91,43.35,31.95,43.41,36.61,44.55,3.50
Producer Manufacturing,Industrial Machinery,600346,恒力石化,19.45,19.23,20.22,19.05,16.79,19.02,15.77,18.97,39.69,19.47,3.44
Health Services,Medical/Nursing Services,300244,迪安诊断,41.48,40.97,43.13,40.89,36.04,40.55,30.40,40.76,42.69,41.51,3.22
Consumer Non-Durables,Beverages: Alcoholic,600779,水井坊,66.58,65.79,69.00,66.52,62.88,65.98,55.10,65.84,57.99,66.59,3.04
Health Services,Medical/Nursing Services,300244,迪安诊断,40.96,40.92,43.09,40.88,36.04,40.59,30.39,40.80,12.93,41.47,58.69
Producer Manufacturing,Industrial Machinery,002849,威星智能,14.91,14.88,15.82,14.86,14.27,14.76,13.81,14.76,-15.65,15.11,26.95
Health Services,Medical/Nursing Services,300642,透景生命,57.22,57.09,59.70,57.18,54.04,56.90,49.21,56.84,15.53,57.74,18.44
Consumer Non-Durables,Beverages: Alcoholic,000596,古井贡酒,224.55,223.49,238.17,223.76,192.58,221.38,159.79,220.75,3.93,227.16,12.90
Producer Manufacturing,Miscellaneous Manufacturing,603657,春光科技,18.80,18.68,20.28,18.74,18.20,18.31,17.64,18.22,6.65,19.08,12.64
Producer Manufacturing,Miscellaneous Manufacturing,300196,长海股份,15.02,14.91,16.14,14.97,13.07,14.88,12.02,14.86,27.46,15.21,9.89
Consumer Durables,Automotive Aftermarket,601163,三角轮胎,15.01,14.82,15.58,14.94,14.34,14.89,14.24,14.90,41.46,15.01,3.08
Producer Manufacturing,Industrial Machinery,002849,威星智能,14.89,14.88,15.82,14.86,14.27,14.77,13.81,14.77,-13.95,15.11,72.77
Process Industries,Chemicals: Specialty,603867,新化股份,27.99,27.94,29.87,27.58,26.18,27.36,25.81,27.32,-16.11,28.43,40.16
Producer Manufacturing,Miscellaneous Manufacturing,603657,春光科技,18.78,18.68,20.28,18.74,18.20,18.39,17.64,18.27,4.64,19.08,15.14
Health Technology,Pharmaceuticals: Other,002773,康弘药业,46.87,46.37,49.96,46.73,44.55,46.56,41.04,46.33,7.18,47.27,6.16
Consumer Non-Durables,Beverages: Alcoholic,000596,古井贡酒,226.49,223.68,238.30,223.80,192.60,221.89,159.80,221.15,24.80,227.33,4.20
Health Technology,Pharmaceuticals: Other,002940,昂利康,58.32,57.28,61.88,57.90,56.06,56.01,47.68,55.82,15.61,58.43,3.42
Health Technology,Medical Specialties,603520,司太立,79.83,78.72,83.17,79.57,75.77,78.72,57.08,78.96,55.89,79.84,3.02
Electronic Technology,Electronic Production Equipment,300582,英飞特,15.67,15.62,18.35,15.44,14.06,15.17,13.27,15.14,-27.54,16.31,57.38
Process Industries,Industrial Specialties,603928,兴业股份,12.46,12.41,13.42,12.42,11.75,12.36,11.51,12.33,-20.02,12.66,17.68
Producer Manufacturing,Auto Parts: OEM,603926,铁流股份,12.95,12.91,13.69,12.95,12.26,12.77,11.88,12.72,1.16,13.10,17.30
Health Technology,Medical Specialties,603658,安图生物,157.87,156.93,164.45,155.79,155.17,155.23,135.79,155.64,45.60,158.81,7.01
Producer Manufacturing,Industrial Machinery,300545,联得装备,32.62,32.15,34.93,32.50,31.93,32.16,31.30,32.12,32.54,32.84,4.88
Producer Manufacturing,Auto Parts: OEM,603926,铁流股份,13.04,12.91,13.70,12.95,12.26,12.79,11.88,12.74,14.23,13.11,5.17
Producer Manufacturing,Industrial Machinery,300545,联得装备,32.65,32.14,34.93,32.50,31.93,32.21,31.30,32.14,31.33,32.84,4.51
Industrial Services,Engineering & Construction,300617,安靠智电,44.21,43.31,48.18,44.06,38.91,43.53,31.95,43.48,29.11,44.53,4.40
Consumer Non-Durables,Beverages: Alcoholic,603589,口子窖,53.46,53.35,58.57,52.89,50.99,51.99,48.64,51.81,-14.17,54.66,47.05
Process Industries,Industrial Specialties,603378,亚士创能,74.41,72.98,81.14,74.18,59.77,72.55,43.46,71.72,26.04,75.02,4.70
Producer Manufacturing,Auto Parts: OEM,603926,铁流股份,13.06,12.91,13.70,12.95,12.26,12.81,11.88,12.75,18.54,13.11,4.40
Industrial Services,Engineering & Construction,300617,安靠智电,44.53,43.34,48.22,44.07,38.91,43.60,31.95,43.50,43.28,44.56,3.11
Producer Manufacturing,Miscellaneous Manufacturing,603856,东宏股份,16.90,16.84,17.78,16.89,16.07,16.67,13.48,16.59,19.87,17.07,14.03
Process Industries,Chemicals: Specialty,002597,金禾实业,33.42,33.11,35.25,33.33,28.54,33.51,25.17,33.64,20.99,33.65,5.96
Industrial Services,Engineering & Construction,300617,安靠智电,44.45,43.33,48.21,44.06,38.91,43.68,31.95,43.54,38.02,44.55,3.35
Producer Manufacturing,Miscellaneous Manufacturing,603856,东宏股份,16.92,16.84,17.78,16.89,16.07,16.70,13.48,16.60,23.25,17.07,10.66
Industrial Services,Engineering & Construction,300617,安靠智电,44.16,43.30,48.18,44.06,38.91,43.78,31.95,43.57,27.66,44.52,4.69
Process Industries,Chemicals: Specialty,002597,金禾实业,33.55,33.13,35.26,33.33,28.54,33.49,25.17,33.62,29.59,33.66,4.03
Electronic Technology,Telecommunications Equipment,600764,中国海防,39.25,39.20,42.70,39.13,33.12,39.02,30.76,38.63,-20.09,40.08,74.97
Consumer Non-Durables,Beverages: Alcoholic,603369,今世缘,47.00,46.10,50.58,46.85,43.39,46.20,37.01,45.48,21.73,47.22,3.99
Consumer Non-Durables,Beverages: Alcoholic,603369,今世缘,47.05,46.11,50.58,46.85,43.39,46.39,37.01,45.58,23.38,47.23,3.75
Producer Manufacturing,Electrical Products,300360,炬华科技,10.33,10.26,11.80,10.31,9.76,10.25,9.56,10.14,-23.88,10.64,21.19
Producer Manufacturing,Industrial Machinery,603915,国茂股份,23.22,23.20,25.93,23.19,19.11,23.27,16.42,23.59,-19.50,23.88,139.07
Producer Manufacturing,Electrical Products,300360,炬华科技,10.32,10.26,11.80,10.31,9.76,10.26,9.56,10.15,-25.02,10.64,24.54
Health Services,Medical/Nursing Services,300244,迪安诊断,41.05,40.93,43.09,40.88,36.04,40.97,30.39,40.80,14.28,41.47,16.43
Commercial Services,Miscellaneous Commercial Services,300668,杰恩设计,17.42,17.29,19.19,17.41,16.45,17.24,16.37,17.07,-8.15,17.77,13.92
Health Technology,Pharmaceuticals: Other,002773,康弘药业,46.79,46.36,49.96,46.73,44.54,46.72,41.04,46.65,3.55,47.26,7.39
