Producer Manufacturing,Industrial Machinery,603915,国茂股份,23.88,23.64,24.97,23.88,21.55,23.86,17.42,23.82,32.84,23.97,4.47
Producer Manufacturing,Office Equipment/Supplies,603600,永艺股份,17.45,17.03,18.73,17.38,16.17,17.37,14.08,17.39,60.44,17.45,3.02
Consumer Services,Restaurants,603043,广州酒家,38.07,37.65,41.09,37.97,37.54,38.18,33.40,38.41,41.99,38.51,7.14
Consumer Durables,Home Furnishings,603848,好太太,15.00,14.91,15.42,15.00,14.64,14.90,13.90,14.90,59.32,15.04,4.56
Producer Manufacturing,Electrical Products,688122,西部超导,53.97,53.57,58.09,53.22,45.61,52.48,40.37,52.63,42.29,54.70,10.19
Producer Manufacturing,Office Equipment/Supplies,603600,永艺股份,17.38,17.06,18.79,17.30,16.23,17.30,14.09,17.31,50.98,17.49,4.43
Producer Manufacturing,Office Equipment/Supplies,603600,永艺股份,17.30,17.05,18.78,17.30,16.23,17.30,14.09,17.29,45.99,17.49,6.01
Finance,Real Estate Development,601155,新城控股,34.45,34.25,35.54,34.41,34.31,34.32,33.27,34.39,50.40,34.57,5.40
Producer Manufacturing,Trucks/Construction/Farm Machinery,603338,浙江鼎力,100.73,98.59,108.36,100.57,94.00,99.82,73.70,100.17,42.85,101.03,3.56
