Producer Manufacturing,Industrial Machinery,002896,中大力德,29.83,29.74,32.60,29.80,26.62,29.20,24.35,29.17,-6.20,30.46,32.01
Technology Services,Packaged Software,603444,吉比特,612.00,608.00,648.92,607.49,551.62,602.36,466.84,596.08,35.38,618.23,9.24
Producer Manufacturing,Industrial Machinery,002896,中大力德,30.27,29.79,32.62,29.81,26.62,29.28,24.35,29.20,21.43,30.49,4.85
Producer Manufacturing,Industrial Machinery,002896,中大力德,29.85,29.75,32.60,29.80,26.62,29.43,24.35,29.25,-4.93,30.46,26.28
Producer Manufacturing,Electrical Products,300360,炬华科技,10.37,10.28,11.55,10.33,9.79,10.33,9.57,10.34,-8.23,10.60,12.65
Producer Manufacturing,Electrical Products,300360,炬华科技,10.34,10.27,11.55,10.33,9.79,10.33,9.57,10.34,-12.24,10.59,18.25
Producer Manufacturing,Electrical Products,300360,炬华科技,10.38,10.28,11.55,10.33,9.79,10.33,9.57,10.34,-6.89,10.60,11.44
Producer Manufacturing,Electrical Products,300360,炬华科技,10.36,10.28,11.55,10.33,9.79,10.34,9.57,10.34,-9.57,10.59,14.11
Producer Manufacturing,Industrial Machinery,002849,威星智能,14.93,14.92,15.77,14.89,14.32,14.95,13.82,15.04,-4.82,15.14,103.10
Producer Manufacturing,Industrial Machinery,002896,中大力德,29.86,29.75,32.60,29.80,26.62,29.79,24.35,29.48,-4.29,30.46,24.10
Process Industries,Chemicals: Agricultural,603639,海利尔,23.11,22.99,23.72,23.08,21.99,23.10,20.26,23.19,44.35,23.17,5.01
Producer Manufacturing,Industrial Machinery,002896,中大力德,29.92,29.75,32.60,29.80,26.62,29.79,24.35,29.52,-0.47,30.46,15.97
Process Industries,Chemicals: Agricultural,603639,海利尔,23.08,22.99,23.72,23.08,21.99,23.08,20.26,23.18,39.02,23.17,6.73
Technology Services,Information Technology Services,603466,风语筑,20.00,19.95,22.25,19.99,18.87,19.59,16.60,19.54,-14.74,20.53,48.60
Consumer Non-Durables,Beverages: Alcoholic,200596,古井贡Ｂ,88.94,88.31,91.72,88.90,86.22,88.92,77.42,89.23,40.64,89.17,4.45
Technology Services,Information Technology Services,603466,风语筑,19.99,19.95,22.24,19.99,18.87,19.71,16.60,19.60,-15.44,20.53,60.69
Consumer Non-Durables,Beverages: Alcoholic,200596,古井贡Ｂ,88.91,88.31,91.72,88.90,86.22,88.91,77.42,89.18,38.72,89.16,4.67
Process Industries,Chemicals: Agricultural,603639,海利尔,23.08,22.99,23.72,23.08,21.99,23.04,20.26,23.10,39.02,23.17,6.73
Consumer Non-Durables,Beverages: Alcoholic,200596,古井贡Ｂ,88.90,88.31,91.72,88.90,86.22,88.90,77.42,89.14,39.11,89.16,4.78
Process Industries,Chemicals: Agricultural,603639,海利尔,23.08,22.99,23.72,23.08,21.99,23.03,20.26,23.05,39.02,23.17,6.73
Process Industries,Industrial Specialties,603378,亚士创能,74.48,72.99,80.14,74.46,60.55,73.79,43.99,74.29,38.22,74.78,3.80
Process Industries,Chemicals: Agricultural,603639,海利尔,23.15,22.99,23.73,23.08,21.99,23.05,20.26,23.05,51.41,23.18,3.64
